Statistieken over interacties voor individuele updates Datum aangemaakt laat zien wanneer de update werd gemaakt. Alle datums en tijden worden weergegeven in UTC.,,,,,,,,,,,,,,,,,
Titel van update,Link naar update,Soort update,Naam van de campagne,Geplaatst door,Aangemaakt,Begindatum van campagne,Einddatum van campagne,Doelgroep,Weergaven,Videoweergaven,Klikken,Doorklikfrequentie (CTR),Interessant,Commentaren,Gedeeld,Gevolgd,Interactiefrequentie
"NEXTgarden herbergt grote spelers die in Europa en wereldwijd actief zijn.

Een aantal ondernemers kiest er voor om een deel van hun productie lokaal, regionaal en over de grens in Duitsland te vermarkten en is daar succesvol in.",https://www.linkedin.com/feed/update/urn:li:activity:6684773855992524800,Spontaan ,,Saskia van Zanen,07/03/2020,,,Alle volgers,230,,3,0.013043478,1,0,0,,0.017391304
"De meeste 'groene' kennis ter wereld vindt u in onze regio. U kunt participeren in een van de netwerkorganisaties die kennis, vakmanschap en business met elkaar verbinden.",https://www.linkedin.com/feed/update/urn:li:activity:6684048858877620224,Spontaan ,,Saskia van Zanen,07/01/2020,,,Alle volgers,156,,2,0.012820513,3,0,0,,0.032051284
"De nieuwsbrief van de Glastuinbouwpact Arnhem-Nijmegen staat online! 

Met onder andere: 
✅ 25 juni - Live debat over agrarische seizoenarbeiders
✅ Oosterhoutse keker zet Voedselbank in de bloemen
✅ 'Focus op herstel' voor de tuinbouw

En nog veel meer! Lees je mee? http://ow.ly/GcVJ50AgiwY",https://www.linkedin.com/feed/update/urn:li:activity:6681541601157816321,Spontaan ,,Saskia van Zanen,06/24/2020,,,Alle volgers,154,,4,0.025974026,1,0,0,,0.032467533
"Dit weekend is het alweer #vaderdag! Ook vaders kunnen heel blij worden van een bloemetje 💐

Koop jij #lokaal een mooie bos bloemen of een plantje om jouw vader extra in het zonnetje te zetten dit #weekend? ☀️",https://www.linkedin.com/feed/update/urn:li:activity:6679759858641768448,Spontaan ,,Saskia van Zanen,06/19/2020,,,Alle volgers,125,,1,0.008,5,0,0,,0.048
"In de Regio Arnhem Nijmegen werken wij samen met 15 gemeenten, de provincie en 3 waterschappen aan regionale plannen voor het opwekken van duurzame energie. 

Ook NEXTgarden doet mee. Lees hier meer informatie! http://ow.ly/Rwhy50zZZyo",https://www.linkedin.com/feed/update/urn:li:activity:6674693806379565056,Spontaan ,,Saskia van Zanen,06/05/2020,,,Alle volgers,203,,5,0.024630541,3,0,0,,0.039408866
"Het project ‘Experience The Horticulture NEXTgarden’ onderzoekt of een belevingscentrum kan bijdragen aan de kennis en betrokkenheid van burgers en bezoekers bij de glastuinbouwsector in de regio. 

Lees er hier meer over: http://ow.ly/Eovk50zThDf",https://www.linkedin.com/feed/update/urn:li:activity:6672074078406365184,Spontaan ,,Saskia van Zanen,05/29/2020,,,Alle volgers,170,,6,0.035294119,6,0,2,,0.082352944
"NEXTgarden is hét ontwikkelingsgebied voor tuinbouw. 

Wil jij hier meer over weten? Bezoek onze website! www.nextgarden.nl",https://www.linkedin.com/feed/update/urn:li:activity:6671409818151989248,Spontaan ,,Saskia van Zanen,05/27/2020,,,Alle volgers,229,,8,0.034934498,5,0,1,,0.06113537
"De nieuwsbrief van NEXTgarden staat online! 

In de nieuwsbrief wordt een update gegeven over het project Experience the Horticulture NEXTgarden. 

Lees er snel meer over: http://ow.ly/4wBW50zLDkC 

Schrijf je hier in voor de nieuwsbrief! http://ow.ly/ypwI50zLDlQ",https://www.linkedin.com/feed/update/urn:li:activity:6668895597573103616,Spontaan ,,Saskia van Zanen,05/20/2020,,,Alle volgers,244,,25,0.102459013,4,1,1,,0.127049178
"Gelderland biedt hulp om sterk uit de #crisis te komen! 

Provincie Gelderland wil bedrijven ondersteunen en stelt voor bedrijven in de #tuinbouwsector geld beschikbaar om met een adviseur/coach te kunnen sparren over hun situatie en om een plan van aanpak op te stellen. 

Lees er hier alles over! http://ow.ly/srkY50zIUbF",https://www.linkedin.com/feed/update/urn:li:activity:6668148341983064065,Spontaan ,,Saskia van Zanen,05/18/2020,,,Alle volgers,230,,7,0.030434782,5,0,1,,0.05652174
"Door het sluiten van de horeca, koken mensen meer thuis. Hierdoor groeit de vraag naar kruiden en specerijen terwijl lockdowns in herkomstlanden de aanvoer bemoeilijken. Koninklijke Euroma BV en Verstegen Spices & Sauces B.V. reageren.

Lees er alles over in dit artikel van VMT: http://ow.ly/64Uo50zBwad

#Ingredientfarm #localforlocal #stikstofreductie #duurzaamtelen",https://www.linkedin.com/feed/update/urn:li:activity:6665551190341877760,Spontaan ,,Saskia van Zanen,05/11/2020,,,Alle volgers,289,,11,0.038062282,4,0,1,,0.055363324
"Fijne moederdag allemaal! 🌹

Nog geen cadeau? Wees loyaal en koop lokaal een bloemetje of plantje! 💐",https://www.linkedin.com/feed/update/urn:li:activity:6665159701237497856,Spontaan ,,Saskia van Zanen,05/10/2020,,,Alle volgers,142,,2,0.014084507,2,0,0,,0.028169014
"Moederdag komt eraan! 🌹

Tijd om een mooi cadeau voor haar te scoren! Tover een glimlach op haar gezicht met een prachtig bloemetje of plantje! 

NEXTgarden is trots op al haar ondernemers, wees loyaal en koop lokaal iets moois! 🌸
De beelden zijn gemaakt bij Bejafleur B.V.",https://www.linkedin.com/feed/update/urn:li:activity:6664086397454024704,Spontaan ,,Saskia van Zanen,05/07/2020,,,Alle volgers,362,108,13,0.035911601,10,0,0,,0.063535914
"Nieuwsbrief Greenport Gelderland weer online!

Lees hem hier! http://ow.ly/oo4X50zx5Ua",https://www.linkedin.com/feed/update/urn:li:activity:6663391860029034496,Spontaan ,,Saskia van Zanen,05/05/2020,,,Alle volgers,108,,0,0,0,0,0,,0
"Door de huidige coronacrisis staan bedrijven in de sierteelt en voedingstuinbouw en -glasbouw voor een uitdaging die op termijn niet alleen maar negatief hoeft uit te pakken. 

Lees hier het hele artikel over Greenport Arnhem-Nijmegen van The Economic Board: https://lnkd.in/gWamse2",https://www.linkedin.com/feed/update/urn:li:activity:6663014380134899712,Spontaan ,,Saskia van Zanen,05/04/2020,,,Alle volgers,334,,11,0.032934133,6,0,1,,0.053892214
"NEXTgarden is trots op al haar ondernemers! 🌸

Neem via de video's die wij delen een kijkje mee in de kassen op NEXTgarden. 

Vandaag kun je meekijken met Handelskwekerij M. Kregting 🌱",https://www.linkedin.com/feed/update/urn:li:activity:6661549921830866944,Spontaan ,,Saskia van Zanen,04/30/2020,,,Alle volgers,296,85,10,0.033783782,9,0,1,,0.067567565
"Karma Plants #endlessflowering is een nieuwbouw kas aan het realiseren op NEXTgarden. We hebben daar prachtige beelden gemaakt, kijken jullie mee?

Karma Plants heeft extra verkoopdagen voor #Moederdag, 7 t/m 9 mei 🌹

Meer weten? Kijk op hun website of bezoek hun webshop: https://lnkd.in/grRXeHy",https://www.linkedin.com/feed/update/urn:li:activity:6659436589778903040,Spontaan ,,Saskia van Zanen,04/24/2020,,,Alle volgers,173,15,7,0.040462427,5,0,1,,0.075144507
"Wie verras jij binnenkort met een bloemetje of plantje?

Wees loyaal en koop lokaal een fleurig bloemetje of plantje voor jezelf, of een ander! 💐",https://www.linkedin.com/feed/update/urn:li:activity:6658378916199182337,Spontaan ,,Saskia van Zanen,04/21/2020,,,Alle volgers,140,,4,0.028571429,3,0,1,,0.057142857
"Kwekers en tuinders uit NEXTgarden leveren verse groenten aan Voedselbank Arnhem. 

Dat is mogelijk gemaakt door een akkoord tussen de tuinders, de voedselbank en Greenport Gelderland, een belangenorganisatie van kwekers.

Lees hier het hele artikel! http://ow.ly/g6Kr50zgKUb",https://www.linkedin.com/feed/update/urn:li:activity:6656853774855999488,Spontaan ,,Saskia van Zanen,04/17/2020,,,Alle volgers,320,,11,0.034375001,10,0,1,,0.068750001
"Door de coronacrisis zijn er bergen frietaardappelen over. Tijd voor een #Benefriet actie! 🍟

Om grote voedselverspilling tegen te gaan is het juist nu nodig om aardappels te eten en het overschot te verminderen. 

Eet of trakteer #benefrietjes #weesloyaaleetlokaal 
Meer info: https://benefrietjes.nl",https://www.linkedin.com/feed/update/urn:li:activity:6656210368169422848,Spontaan ,,Saskia van Zanen,04/15/2020,,,Alle volgers,184,,6,0.032608695,3,0,1,,0.054347824
"NEXTgarden wenst iedereen een prettig paasweekend 🐣🐥

Maak jezelf of een ander blij met een bloemetje of plantje! Wees loyaal en koop deze lokaal 🌸

Kom in de Kas kon dit jaar niet helaas doorgaan. Neem met onze video's toch in kijkje in de kassen! 

Vandaag kijk je mee met Kwekerij 't  Kleintje! 🌼
Geluid aan 🔈",https://www.linkedin.com/feed/update/urn:li:activity:6654679466880708609,Spontaan ,,Saskia van Zanen,04/11/2020,,,Alle volgers,482,4,10,0.020746889,16,0,1,,0.056016598
"NEXTgarden wenst iedereen een prettig en gezond paasweekend 🐣🐥

Wees loyaal en koop lokaal een plantje of bloemetje voor jezelf of een ander! 🌼",https://www.linkedin.com/feed/update/urn:li:activity:6654422773831737345,Spontaan ,,Saskia van Zanen,04/10/2020,,,Alle volgers,499,,11,0.022044089,9,2,1,,0.046092186
"Wie maak jij blij met een bloemetje? 🌸

Wees loyaal en koop lokaal! Dit kan tegenwoordig ook online.

Gister is er bericht vanuit NEXTgarden gedeeld dat Orchideeënkwekerij de Molenhoek op zaterdag geopend is, dat is niet het geval! 

Andere kwekerijen in de omgeving zijn wel geopend voor particuliere verkoop. ",https://www.linkedin.com/feed/update/urn:li:activity:6654034949760524290,Spontaan ,,Saskia van Zanen,04/09/2020,,,Alle volgers,206,,6,0.029126214,5,0,0,,0.053398058
"NEXTgarden is trots op haar prachtige ondernemingen! 🌸

Fleur jij jouw huis of die van een ander op? Wees loyaal en koop lokaal een bloemetje of plantje! 

Helaas kon Kom in de Kas dit jaar niet doorgaan, op deze manier kun je toch een kijkje nemen in de kas van Orchideenkwekerij De Molenhoek.",https://www.linkedin.com/feed/update/urn:li:activity:6653675342047387648,Spontaan ,,Saskia van Zanen,04/08/2020,,,Alle volgers,200,1,2,0.01,6,0,1,,0.045000002
"Dit weekend zou Kom in de Kas 2020 plaatsvinden 🌿

Helaas gaat dat dit jaar niet door! We blikken graag terug naar 2018, waarop er mooie beelden zijn gemaakt. Kijk je mee? 

#KomindeKasThrowback #komindekas2020 #samentegencorona 
Kom in de kas regio Arnhem - Nijmegen",https://www.linkedin.com/feed/update/urn:li:activity:6652097423579713536,Spontaan ,,Saskia van Zanen,04/04/2020,,,Alle volgers,213,3,8,0.037558686,4,0,2,,0.065727696
"De nieuwsbrief van Glastuinbouwpact Arnhem-Nijmegen staat online. De nieuwsbrief staat in het teken van Corona en ondernemen.

Lees je mee? http://ow.ly/KBi650z46YX",https://www.linkedin.com/feed/update/urn:li:activity:6651765225471250432,Spontaan ,,Saskia van Zanen,04/03/2020,,,Alle volgers,241,,10,0.041493777,5,0,3,,0.0746888
"Een gesprek met: René Willemsen - voorzitter van Bloemenveiling Plantion

'Niemand die weet hoe het precies verder gaat, maar we weten wel dat we er samen uit willen komen.' 

Lees hier het hele gesprek! http://ow.ly/j1is50z34o3",https://www.linkedin.com/feed/update/urn:li:activity:6651463309537218560,Spontaan ,,Saskia van Zanen,04/02/2020,,,Alle volgers,600,,52,0.086666666,16,0,1,,0.115000002
"Wie maak jij blij met een prachtig boeket? 💐
Omdat je bloemen niet kunt bewaren, slaan de initiatiefnemers van Red je Boeketje de handen ineen.

Weet je niet direct wie een bloemetje kan gebruiken? Zij wel. Als je een boeket doneert, bezorgen zij hem bij een van de 120.000 ouderen in verzorgingstehuizen. Zo krijgen ze toch bezoek 🌸

Bestel een boeket op www.redjeboeketje.nl 
#supportlocal #steundekwekers #samentegencorona #covid19",https://www.linkedin.com/feed/update/urn:li:activity:6651149807253540864,Spontaan ,,Saskia van Zanen,04/01/2020,,,Alle volgers,209,,11,0.052631579,8,0,2,,0.10047847
